gridID,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6
24,4.6294088,0.0911133682894864,0.3592640531431872,0.29609063985739037,0.1323482148799288,0.251892720104912,0.027554999999999996,0.11707,0.056762346324072,0.038368564216048,1.30646256864192,0.33578,0.587615,0.31997000000000003,1.16615346324072,0.09185,0.1837,0.036739999999999995,0.9185000000000001,0.45925000000000005,0.7348,0.27555,0.3674
25,4.3187622,0.07903659636747158,0.3450034692605968,0.2881366269454476,0.1258341877704322,0.236885659509228,0.027939,0.133865,0.054468552066517996,0.036959034711012,1.3030813884404802,0.33372,0.5840099999999999,0.31432000000000004,1.16166552066518,0.09313,0.18626,0.037252,0.9313,0.46565,0.74504,0.27939,0.37252
26,5.0935276,0.10409027228022279,0.3897495563213744,0.3187504922410308,0.14460642413423258,0.276782760372324,0.028919999999999998,0.11124500000000001,0.06175356002939399,0.041636040019596005,1.38844160078384,0.35758,0.625765,0.34357000000000004,1.2379656002939399,0.09640000000000001,0.19280000000000003,0.03856,0.964,0.482,0.7712000000000001,0.2892,0.38560000000000005
27,6.885162599999999,0.17034999400556278,0.4826497266916943,0.3776961200187708,0.18672122090476256,0.369745152874524,0.029781,0.051525,0.07722088049009398,0.051494586993396,1.51642347973584,0.39624000000000004,0.69342,0.39582,1.3690888049009398,0.09927000000000001,0.19854000000000002,0.03970799999999999,0.9926999999999999,0.49634999999999996,0.7941600000000001,0.29781,0.39708000000000004
28,5.4890946,0.13621998639986876,0.39112612006698233,0.31206104005023677,0.15314323124748958,0.302052590321504,0.028190999999999997,0.11687,0.06290580976222399,0.042454873174816,1.32447492699264,0.34482,0.6034349999999999,0.32928999999999997,1.2394680976222399,0.09397,0.18794,0.037587999999999996,0.9397,0.46985,0.75176,0.28191,0.37588
29,5.3523428,0.13349458652512838,0.3826735866442032,0.3069329149831524,0.15057970753126781,0.29684342964877203,0.028785,0.13712,0.061667928656482,0.041772285770988,1.3230114308395202,0.34418000000000004,0.6023149999999999,0.32437000000000005,1.25180928656482,0.09595000000000002,0.19190000000000004,0.03838,0.9595,0.47975,0.7676000000000002,0.28785000000000005,0.3838000000000001
30,6.5335263999999995,0.16207377970703918,0.4592610242794016,0.36082731820955116,0.1782587406288964,0.352796784226136,0.029372999999999996,0.068485,0.07357674612311599,0.04919583074874399,1.46663322994976,0.38296,0.67018,0.37862,1.33624746123116,0.09791,0.19582,0.039164,0.9791,0.48955,0.78328,0.29373,0.39164
31,6.3288562,0.14079565774920358,0.4625790431529328,0.36775005736469957,0.1733740738169262,0.337343153652788,0.029298,0.04883,0.073364775288378,0.048909850192252004,1.50591400769008,0.39064,0.68362,0.39064,1.31960775288378,0.09766,0.19532,0.039064,0.9766,0.4883,0.78128,0.29298,0.39064
32,6.503507399999999,0.16032352290674717,0.45738173676018556,0.3588418525701391,0.17693333090288238,0.349986268197776,0.028719,0.05745,0.073190152752456,0.048864435168303993,1.4501374067321602,0.37866,0.662655,0.37653000000000003,1.31267152752456,0.09573000000000001,0.19146000000000002,0.03829199999999999,0.9573,0.47865,0.7658400000000001,0.28719,0.38292000000000004
33,5.1608909999999995,0.11139134350429798,0.387425012830104,0.314612634622578,0.145626790419891,0.28099248437634,0.028332,0.10797000000000001,0.061598406661289996,0.04151560444086,1.3582241776344,0.35076,0.61383,0.33726,1.2231240666129,0.09444,0.18888,0.037776,0.9444,0.4722,0.75552,0.28332,0.37776
34,6.9377965999999995,0.17897625966414477,0.47767228660783034,0.37122941495587275,0.1874123831258316,0.37386162472858403,0.029189999999999997,0.05247500000000001,0.07672873353120399,0.051180822354136,1.4779928941654399,0.3875,0.6781249999999999,0.38665000000000005,1.35363733531204,0.09730000000000001,0.19460000000000002,0.038919999999999996,0.973,0.4865,0.7784000000000001,0.2919,0.38920000000000005
35,7.082429599999999,0.18435204840789876,0.48539902684542235,0.37638884513406673,0.19097349871287458,0.38164428110140397,0.029426999999999995,0.050530000000000005,0.07802662745537399,0.052028751636916,1.4926300654766398,0.39170000000000005,0.685475,0.39137,1.36979627455374,0.09809000000000001,0.19618000000000002,0.03923599999999999,0.9808999999999999,0.49044999999999994,0.7847200000000001,0.29427,0.39236000000000004
36,5.3666154,0.13444472593100118,0.37829405701177754,0.3004479677588332,0.14794684423967538,0.292781852635596,0.026637,0.10564000000000001,0.060571593629125994,0.040834729086084,1.2576691634433599,0.32794,0.573895,0.31433,1.1792859362912598,0.08879,0.17758,0.035516,0.8878999999999999,0.44394999999999996,0.71032,0.26636999999999994,0.35516
37,6.7821381999999995,0.18042647244152957,0.4616032676951808,0.3583546007713856,0.1833650654702432,0.36761448086636805,0.029046,0.072485,0.074342853752608,0.049740235835072005,1.4337294334028798,0.37658,0.659015,0.37123000000000006,1.34039853752608,0.09681999999999999,0.19363999999999998,0.038728,0.9682,0.4841,0.7745599999999999,0.29046,0.38727999999999996
38,7.3724376,0.19972930458189275,0.49565098147853437,0.38119793610890074,0.19777852701999757,0.398270600493424,0.029519999999999998,0.04920000000000001,0.079990626354744,0.05332708423649599,1.49404336945984,0.39360000000000006,0.6887999999999999,0.39360000000000006,1.39030626354744,0.09840000000000002,0.19680000000000003,0.03935999999999999,0.984,0.492,0.7872000000000001,0.29519999999999996,0.39360000000000006
39,6.689114599999999,0.17622585612082878,0.4558969776490624,0.3535066832367968,0.18012588212780958,0.36077224239830397,0.028076999999999998,0.059305000000000004,0.073249229663024,0.048925486442016,1.40429945768064,0.3688,0.6454,0.36602,1.3023722966302398,0.09358999999999999,0.18717999999999999,0.037436,0.9359,0.46795,0.7487199999999999,0.28076999999999996,0.37435999999999997
40,5.6578138,0.15299744801409637,0.3839735047154672,0.30180010353660036,0.1538769873354238,0.30904132253621197,0.027198,0.12516000000000002,0.061574683358122,0.041641122238748,1.24708488954992,0.32716000000000006,0.57253,0.30942000000000003,1.21292683358122,0.09066,0.18132,0.036264,0.9066,0.4533,0.72528,0.27198,0.36264
41,6.199233999999999,0.15052208482511198,0.43931872665257593,0.34666604498943193,0.169275236437204,0.33385437843896,0.028482,0.07105,0.07013302987675998,0.046930019917839995,1.4165607967136,0.36928,0.6462399999999999,0.36404000000000003,1.2866902987675999,0.09494,0.18988,0.037975999999999996,0.9494,0.4747,0.75952,0.28481999999999996,0.37976
42,6.391809200000001,0.17180020678294758,0.4356057077790448,0.33991730583428353,0.1743129032491742,0.349563009012308,0.028907999999999996,0.097545,0.070352000711498,0.047267000474332,1.3848800189732802,0.36350000000000005,0.636125,0.35253,1.31459000711498,0.09636000000000002,0.19272000000000003,0.038543999999999995,0.9636,0.4818,0.7708800000000001,0.28908,0.38544000000000006
