gridID,EcotypeID,EcotypeFrac
671,-999,1.0000
672,-999,1.0000
673,-999,1.0000
674,-999,1.0000
675,-999,1.0000
676,-999,1.0000
677,-999,1.0000
678,-999,1.0000
679,-999,1.0000
680,-999,1.0000
681,-999,1.0000
682,-999,1.0000
683,-999,1.0000
684,-999,1.0000
685,-999,1.0000
686,-999,1.0000
687,-999,1.0000
688,-999,1.0000
689,-999,1.0000
690,-999,1.0000
691,-999,1.0000
692,-999,1.0000
693,-999,1.0000
694,-999,1.0000
695,-999,1.0000
696,-999,1.0000
697,-999,1.0000
698,-999,1.0000
699,-999,1.0000
700,-999,1.0000
701,-999,1.0000
702,-999,1.0000
703,-999,1.0000
704,-999,1.0000
705,-999,1.0000
706,-999,1.0000
707,-999,1.0000
708,-999,1.0000
709,-999,1.0000
710,-999,1.0000
711,-999,1.0000
712,5248,.3066
712,-999,.6934
713,-999,.1389
713,5248,.8611
714,-999,.6732
714,5248,.3268
715,-999,.9854
715,5248,.0146
716,-999,1.0000
717,-999,1.0000
718,-999,1.0000
719,-999,1.0000
720,-999,1.0000
721,-999,1.0000
722,-999,1.0000
723,-999,1.0000
724,-999,1.0000
725,-999,1.0000
726,-999,1.0000
727,5218,.0574
727,-999,.9426
728,5218,.2564
728,-999,.7436
729,5218,.8331
729,-999,.1669
730,-999,.1077
730,5218,.8923
731,5218,.2754
731,-999,.7246
732,-999,.3130
732,5218,.6870
733,5234,.1703
733,-999,.8297
734,5234,.8460
734,-999,.1540
735,5234,1.0000
736,-999,.1870
736,5234,.8130
737,-999,.9939
737,5234,.0061
738,-999,1.0000
739,-999,1.0000
740,5234,.3733
740,-999,.6267
741,5234,.2994
741,-999,.7006
742,-999,.8356
742,5234,.1644
743,-999,.9387
743,5234,.0613
744,-999,1.0000
745,-999,1.0000
746,-999,.8582
746,5268,.1418
747,-999,.9328
747,5268,.0672
748,-999,.5477
748,5309,.0306
748,5268,.4218
749,5268,1.0000
750,5268,.9281
750,-999,.0061
750,5307,.0658
751,5268,.0219
751,-999,.9391
751,5307,.0390
752,-999,1.0000
753,-999,1.0000
754,-999,1.0000
755,-999,1.0000
756,-999,1.0000
757,-999,1.0000
758,-999,1.0000
759,-999,1.0000
760,-999,1.0000
761,-999,1.0000
762,-999,1.0000
763,-999,1.0000
764,-999,1.0000
765,-999,1.0000
766,-999,1.0000
767,-999,1.0000
768,-999,1.0000
769,-999,1.0000
770,-999,.7600
770,5210,.1830
770,5307,.0570
771,-999,.8104
771,5210,.1324
771,5307,.0571
772,5210,.2509
772,-999,.6784
772,5279,.0463
772,5307,.0244
773,-999,.4085
773,5270,.0594
773,5279,.3200
